iter	Passed	Remaining
0	146	146168
1	149	74438
2	152	50544
3	155	38664
4	158	31510
5	161	26799
6	165	23409
7	167	20826
8	170	18816
9	174	17237
10	177	15969
11	180	14888
12	184	13982
13	187	13175
14	190	12520
15	193	11926
16	196	11384
17	199	10859
18	201	10392
19	203	9979
20	205	9580
21	207	9214
22	209	8882
23	210	8565
24	212	8268
25	213	7993
26	214	7740
27	216	7507
28	217	7281
29	219	7103
30	220	6902
31	221	6710
32	222	6530
33	223	6358
34	224	6195
35	225	6041
36	226	5897
37	227	5758
38	228	5627
39	229	5504
40	230	5388
41	231	5275
42	232	5164
43	232	5059
44	234	4966
45	234	4872
46	236	4791
47	237	4709
48	238	4631
49	239	4555
50	240	4479
51	241	4404
52	242	4333
53	243	4265
54	244	4201
55	245	4136
56	246	4075
57	247	4019
58	249	3981
59	250	3930
60	251	3877
61	252	3826
62	254	3780
63	255	3734
64	256	3689
65	257	3647
66	258	3606
67	259	3557
68	260	3518
69	261	3476
70	262	3434
71	263	3393
72	264	3356
73	265	3319
74	266	3286
75	267	3254
76	268	3222
77	269	3189
78	270	3156
79	271	3125
80	272	3095
81	273	3063
82	274	3033
83	275	3004
84	276	2972
85	277	2945
86	277	2915
87	278	2890
88	280	2866
89	280	2840
90	281	2814
91	282	2788
92	283	2764
93	284	2739
94	285	2716
95	285	2692
96	287	2672
97	288	2651
98	289	2631
99	290	2610
100	291	2591
101	291	2566
102	292	2547
103	293	2527
104	294	2512
105	295	2493
106	296	2475
107	297	2458
108	298	2441
109	299	2425
110	304	2436
111	305	2419
112	306	2403
113	307	2386
114	307	2369
115	308	2351
116	309	2337
117	310	2321
118	311	2308
119	313	2295
120	314	2281
121	315	2267
122	315	2249
123	316	2234
124	317	2220
125	318	2206
126	319	2192
127	319	2176
128	320	2164
129	321	2150
130	322	2138
131	323	2126
132	325	2122
133	326	2111
134	327	2099
135	328	2089
136	329	2078
137	330	2066
138	332	2057
139	333	2047
140	334	2037
141	335	2026
142	336	2016
143	337	2007
144	338	1997
145	340	1989
146	341	1981
147	342	1974
148	344	1965
149	345	1956
150	346	1945
151	346	1935
152	347	1924
153	348	1914
154	349	1903
155	350	1893
156	350	1884
157	351	1875
158	353	1867
159	354	1860
160	355	1851
161	356	1844
162	357	1836
163	358	1828
164	359	1821
165	360	1813
166	362	1805
167	363	1798
168	364	1791
169	365	1782
170	365	1773
171	366	1764
172	367	1756
173	368	1747
174	368	1738
175	370	1736
176	372	1730
177	373	1723
178	374	1717
179	375	1710
180	376	1701
181	377	1694
182	377	1687
183	378	1679
184	379	1672
185	380	1665
186	381	1658
187	382	1651
188	383	1645
189	384	1638
190	385	1632
191	386	1625
192	387	1619
193	388	1614
194	389	1609
195	390	1603
196	391	1596
197	392	1590
198	393	1584
199	394	1578
200	395	1572
201	396	1566
202	397	1560
203	398	1555
204	399	1549
205	400	1544
206	401	1538
207	402	1533
208	403	1527
209	404	1522
210	405	1517
211	406	1512
212	407	1506
213	408	1501
214	409	1495
215	410	1490
216	411	1485
217	412	1480
218	413	1475
219	414	1470
220	416	1467
221	417	1463
222	418	1458
223	419	1453
224	420	1448
225	421	1443
226	422	1438
227	423	1433
228	424	1428
229	425	1423
230	426	1418
231	427	1414
232	428	1409
233	429	1405
234	430	1399
235	430	1394
236	431	1389
237	432	1384
238	433	1379
239	434	1375
240	435	1370
241	436	1365
242	437	1361
243	438	1357
244	438	1352
245	439	1348
246	440	1343
247	441	1339
248	442	1335
249	443	1331
250	444	1327
251	445	1323
252	446	1318
253	447	1314
254	448	1310
255	449	1306
256	450	1302
257	451	1298
258	452	1294
259	453	1291
260	454	1288
261	456	1284
262	457	1281
263	458	1277
264	459	1273
265	460	1269
266	461	1266
267	462	1263
268	463	1258
269	464	1254
270	464	1250
271	466	1247
272	467	1243
273	468	1240
274	469	1237
275	470	1233
276	471	1230
277	472	1226
278	473	1223
279	475	1223
280	476	1219
281	477	1215
282	478	1212
283	479	1209
284	480	1205
285	481	1202
286	482	1198
287	483	1194
288	484	1191
289	485	1187
290	486	1184
291	487	1180
292	488	1177
293	489	1175
294	490	1171
295	491	1169
296	492	1166
297	493	1163
298	494	1160
299	495	1156
300	496	1153
301	497	1150
302	498	1146
303	499	1143
304	500	1140
305	501	1137
306	502	1134
307	503	1131
308	504	1129
309	505	1126
310	506	1122
311	507	1119
312	508	1116
313	509	1113
314	510	1110
315	511	1107
316	512	1104
317	513	1101
318	514	1098
319	515	1095
320	516	1092
321	517	1089
322	518	1086
323	520	1086
324	521	1083
325	522	1080
326	523	1077
327	524	1074
328	525	1070
329	525	1067
330	526	1064
331	527	1061
332	528	1058
333	529	1055
334	530	1052
335	531	1049
336	532	1047
337	533	1044
338	534	1041
339	535	1038
340	536	1036
341	537	1034
342	538	1031
343	539	1029
344	541	1027
345	542	1024
346	543	1022
347	544	1019
348	545	1016
349	546	1014
350	547	1011
351	548	1009
352	550	1008
353	554	1012
354	555	1009
355	556	1006
356	557	1004
357	558	1001
358	559	999
359	560	997
360	561	994
361	562	992
362	564	989
363	565	988
364	566	986
365	568	983
366	568	981
367	569	978
368	570	975
369	571	972
370	572	970
371	573	967
372	574	965
373	575	963
374	576	960
375	577	958
376	578	956
377	579	954
378	580	951
379	581	949
380	582	946
381	583	944
382	584	941
383	585	939
384	586	937
385	587	934
386	588	932
387	589	929
388	590	927
389	591	924
390	592	922
391	593	920
392	594	917
393	595	915
394	596	913
395	597	911
396	598	908
397	599	906
398	600	903
399	601	901
400	602	899
401	603	897
402	603	894
403	604	892
404	606	890
405	606	887
406	607	885
407	608	883
408	609	880
409	610	878
410	611	876
411	613	874
412	613	872
413	615	870
414	615	868
415	616	866
416	617	863
417	618	861
418	619	859
419	620	857
420	621	854
421	622	852
422	623	850
423	624	848
424	626	847
425	627	845
426	628	843
427	629	841
428	630	838
429	631	836
430	632	834
431	633	832
432	634	830
433	635	828
434	636	826
435	637	824
436	638	822
437	639	819
438	640	817
439	641	816
440	642	814
441	643	812
442	644	810
443	645	808
444	646	806
445	647	804
446	648	801
447	649	799
448	649	797
449	650	795
450	651	793
451	652	791
452	653	788
453	654	786
454	655	784
455	656	782
456	657	780
457	657	778
458	658	776
459	659	774
460	660	772
461	661	770
462	662	768
463	663	766
464	664	764
465	665	763
466	666	761
467	667	758
468	668	756
469	669	754
470	671	753
471	672	751
472	672	749
473	673	747
474	674	745
475	675	743
476	676	741
477	677	739
478	678	738
479	679	736
480	680	734
481	681	732
482	682	730
483	683	728
484	684	726
485	685	724
486	686	722
487	687	720
488	688	719
489	689	717
490	690	715
491	691	714
492	692	712
493	693	710
494	694	708
495	695	706
496	696	704
497	697	702
498	698	700
499	699	699
500	702	699
501	703	697
502	704	695
503	705	694
504	706	692
505	707	690
506	707	688
507	708	686
508	709	684
509	710	682
510	711	680
511	712	679
512	713	677
513	714	675
514	715	674
515	717	672
516	718	670
517	719	669
518	720	667
519	721	665
520	721	663
521	722	662
522	724	660
523	725	658
524	726	656
525	726	655
526	727	653
527	729	651
528	730	650
529	731	648
530	732	646
531	733	644
532	734	643
533	734	641
534	735	639
535	736	637
536	737	636
537	738	634
538	739	632
539	740	630
540	741	629
541	742	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	618
547	748	617
548	749	615
549	749	613
550	751	611
551	752	610
552	753	608
553	753	606
554	754	605
555	755	603
556	756	602
557	757	600
558	758	598
559	760	597
560	761	595
561	762	594
562	763	592
563	765	591
564	766	589
565	767	588
566	767	586
567	768	584
568	769	583
569	770	581
570	771	579
571	772	578
572	773	576
573	774	575
574	775	573
575	777	572
576	778	570
577	779	569
578	780	567
579	781	565
580	782	564
581	783	562
582	784	561
583	785	559
584	786	557
585	787	556
586	788	554
587	789	552
588	790	551
589	791	549
590	792	548
591	793	546
592	794	545
593	795	544
594	796	542
595	797	540
596	798	539
597	799	537
598	800	535
599	801	534
600	802	532
601	803	531
602	804	529
603	805	527
604	806	526
605	807	524
606	808	523
607	809	521
608	810	520
609	811	518
610	812	517
611	813	515
612	813	513
613	814	512
614	815	510
615	816	509
616	817	507
617	818	506
618	819	504
619	820	503
620	823	502
621	824	500
622	824	499
623	825	497
624	826	496
625	827	494
626	828	492
627	829	491
628	830	489
629	831	488
630	832	486
631	833	485
632	834	483
633	835	482
634	836	480
635	837	479
636	838	478
637	840	476
638	840	475
639	841	473
640	842	472
641	843	470
642	844	468
643	845	467
644	846	465
645	847	464
646	848	462
647	849	461
648	850	459
649	851	458
650	853	457
651	854	455
652	855	454
653	856	453
654	857	451
655	858	450
656	859	448
657	859	446
658	861	445
659	861	444
660	862	442
661	863	441
662	864	439
663	865	438
664	866	436
665	868	435
