iter	Passed	Remaining
0	146	146075
1	148	73977
2	149	49632
3	150	37439
4	151	30122
5	152	25246
6	153	21750
7	154	19126
8	155	17082
9	156	15444
10	156	14106
11	159	13095
12	160	12204
13	162	11429
14	163	10727
15	164	10118
16	165	9571
17	166	9082
18	167	8646
19	168	8262
20	169	7909
21	170	7589
22	171	7295
23	173	7069
24	175	6861
25	177	6637
26	178	6422
27	179	6217
28	180	6028
29	180	5851
30	182	5690
31	183	5539
32	184	5397
33	185	5262
34	187	5157
35	188	5050
36	190	4962
37	192	4861
38	193	4762
39	194	4662
40	195	4567
41	196	4474
42	197	4384
43	197	4298
44	198	4218
45	199	4143
46	201	4087
47	203	4027
48	204	3976
49	206	3915
50	207	3853
51	208	3793
52	209	3738
53	210	3684
54	211	3632
55	212	3581
56	213	3532
57	214	3482
58	216	3447
59	217	3410
60	219	3378
61	220	3340
62	221	3297
63	222	3258
64	223	3217
65	224	3178
66	225	3139
67	226	3102
68	227	3067
69	228	3031
70	229	2997
71	230	2968
72	231	2945
73	232	2915
74	234	2894
75	235	2868
76	236	2840
77	237	2811
78	238	2784
79	239	2757
80	240	2730
81	241	2704
82	242	2674
83	243	2651
84	244	2627
85	245	2613
86	247	2595
87	248	2580
88	250	2561
89	251	2539
90	252	2518
91	253	2498
92	253	2477
93	254	2457
94	255	2437
95	256	2417
96	257	2399
97	258	2380
98	259	2361
99	261	2350
100	263	2342
101	265	2334
102	266	2318
103	267	2301
104	268	2285
105	269	2269
106	270	2253
107	270	2238
108	271	2222
109	272	2205
110	273	2189
111	274	2173
112	276	2168
113	277	2158
114	279	2148
115	280	2137
116	281	2123
117	282	2110
118	283	2098
119	284	2085
120	285	2072
121	286	2058
122	287	2047
123	288	2034
124	288	2022
125	290	2013
126	291	2004
127	292	1994
128	294	1986
129	295	1976
130	296	1965
131	297	1954
132	298	1943
133	299	1932
134	300	1922
135	300	1912
136	301	1901
137	302	1891
138	303	1881
139	306	1882
140	307	1876
141	309	1869
142	310	1859
143	311	1849
144	312	1840
145	313	1830
146	313	1821
147	314	1812
148	315	1804
149	317	1796
150	317	1787
151	319	1779
152	322	1783
153	323	1778
154	325	1772
155	326	1764
156	326	1755
157	327	1746
158	328	1738
159	329	1729
160	330	1720
161	331	1712
162	331	1704
163	332	1696
164	333	1688
165	335	1687
166	337	1682
167	339	1680
168	340	1673
169	341	1665
170	341	1657
171	342	1649
172	343	1641
173	344	1634
174	345	1627
175	346	1620
176	347	1613
177	347	1606
178	348	1599
179	350	1597
180	351	1592
181	354	1593
182	355	1586
183	356	1580
184	357	1573
185	357	1566
186	359	1561
187	360	1554
188	360	1548
189	361	1541
190	362	1535
191	363	1529
192	364	1524
193	366	1521
194	368	1519
195	369	1516
196	370	1511
197	371	1505
198	372	1499
199	373	1493
200	374	1487
201	375	1482
202	376	1476
203	376	1470
204	377	1465
205	378	1459
206	380	1459
207	382	1455
208	383	1451
209	384	1446
210	385	1441
211	386	1436
212	387	1432
213	388	1427
214	389	1422
215	390	1417
216	391	1412
217	392	1408
218	393	1403
219	395	1400
220	396	1397
221	397	1393
222	399	1390
223	400	1386
224	401	1382
225	402	1377
226	403	1372
227	403	1367
228	404	1362
229	405	1357
230	406	1353
231	407	1348
232	408	1343
233	409	1338
234	410	1337
235	411	1333
236	413	1330
237	414	1326
238	415	1321
239	415	1317
240	416	1313
241	417	1308
242	418	1304
243	419	1300
244	420	1295
245	421	1291
246	422	1287
247	423	1282
248	424	1279
249	425	1277
250	426	1273
251	427	1269
252	428	1264
253	429	1260
254	430	1256
255	431	1252
256	431	1248
257	432	1244
258	433	1240
259	434	1236
260	435	1232
261	436	1228
262	437	1225
263	438	1221
264	438	1217
265	440	1215
266	441	1212
267	442	1208
268	443	1205
269	444	1201
270	445	1198
271	446	1194
272	447	1191
273	448	1187
274	449	1184
275	449	1180
276	450	1177
277	451	1173
278	452	1170
279	453	1166
280	455	1165
281	456	1162
282	457	1158
283	458	1154
284	458	1151
285	459	1147
286	460	1144
287	461	1141
288	462	1138
289	463	1135
290	464	1132
291	465	1129
